chr1L	chr1L
Scaffold32220	chrUn_NW_016722827v1
Scaffold32221	chrUn_NW_016722828v1
Scaffold32222	chrUn_NW_016722829v1
Scaffold32223	chrUn_NW_016722830v1
Scaffold32224	chrUn_NW_016722831v1
Scaffold32225	chrUn_NW_016722832v1
Scaffold32226	chrUn_NW_016722833v1
Scaffold32227	chrUn_NW_016722834v1
Scaffold32228	chrUn_NW_016722835v1
Scaffold3223	chrUn_NW_016697835v1
Scaffold32230	chrUn_NW_016722836v1
Scaffold32232	chrUn_NW_016722837v1
Scaffold32233	chrUn_NW_016722838v1
Scaffold32234	chrUn_NW_016722839v1
Scaffold32235	chrUn_NW_016722840v1
Scaffold32236	chrUn_NW_016722841v1
Scaffold32237	chrUn_NW_016722842v1
Scaffold32238	chrUn_NW_016722843v1
Scaffold32239	chrUn_NW_016722844v1
Scaffold3224	chrUn_NW_016697836v1
Scaffold32240	chrUn_NW_016722845v1
Scaffold32241	chrUn_NW_016722846v1
Scaffold32242	chrUn_NW_016722847v1
Scaffold32243	chrUn_NW_016722848v1
Scaffold32244	chrUn_NW_016722849v1
Scaffold32245	chrUn_NW_016722850v1
Scaffold32246	chrUn_NW_016722851v1
Scaffold32247	chrUn_NW_016722852v1
Scaffold32248	chrUn_NW_016722853v1
Scaffold32249	chrUn_NW_016722854v1
Scaffold3225	chrUn_NW_016697837v1
Scaffold32250	chrUn_NW_016722855v1
Scaffold32251	chrUn_NW_016722856v1
Scaffold32252	chrUn_NW_016722857v1
Scaffold32253	chrUn_NW_016722858v1
Scaffold32254	chrUn_NW_016722859v1
Scaffold32256	chrUn_NW_016722860v1
Scaffold32257	chrUn_NW_016722861v1
Scaffold32258	chrUn_NW_016722862v1
Scaffold32259	chrUn_NW_016722863v1
Scaffold3226	chrUn_NW_016697838v1
Scaffold32260	chrUn_NW_016722864v1
Scaffold32261	chrUn_NW_016722865v1
Scaffold32262	chrUn_NW_016722866v1
Scaffold32263	chrUn_NW_016722867v1
Scaffold32264	chrUn_NW_016722868v1
Scaffold32265	chrUn_NW_016722869v1
Scaffold32266	chrUn_NW_016722870v1
Scaffold32267	chrUn_NW_016722871v1
Scaffold32268	chrUn_NW_016722872v1
Scaffold32269	chrUn_NW_016722873v1
Scaffold3227	chrUn_NW_016697839v1
Scaffold32270	chrUn_NW_016722874v1
Scaffold32271	chrUn_NW_016722875v1
Scaffold32272	chrUn_NW_016722876v1
Scaffold32273	chrUn_NW_016722877v1
Scaffold32274	chrUn_NW_016722878v1
Scaffold32275	chrUn_NW_016722879v1
Scaffold32276	chrUn_NW_016722880v1
Scaffold32277	chrUn_NW_016722881v1
Scaffold32278	chrUn_NW_016722882v1
Scaffold32279	chrUn_NW_016722883v1
Scaffold3228	chrUn_NW_016697840v1
Scaffold32280	chrUn_NW_016722884v1
Scaffold32281	chrUn_NW_016722885v1
Scaffold32282	chrUn_NW_016722886v1
Scaffold32284	chrUn_NW_016722887v1
Scaffold32285	chrUn_NW_016722888v1
Scaffold32286	chrUn_NW_016722889v1
Scaffold32287	chrUn_NW_016722890v1
Scaffold32289	chrUn_NW_016722891v1
Scaffold3229	chrUn_NW_016697841v1
Scaffold32290	chrUn_NW_016722892v1
Scaffold32291	chrUn_NW_016722893v1
Scaffold32292	chrUn_NW_016722894v1
Scaffold32293	chrUn_NW_016722895v1
Scaffold32294	chrUn_NW_016722896v1
Scaffold32295	chrUn_NW_016722897v1
Scaffold32296	chrUn_NW_016722898v1
Scaffold32297	chrUn_NW_016722899v1
Scaffold32298	chrUn_NW_016722900v1
Scaffold32299	chrUn_NW_016722901v1
Scaffold323	chrUn_NW_016695114v1
Scaffold3230	chrUn_NW_016697842v1
Scaffold32300	chrUn_NW_016722902v1
Scaffold32301	chrUn_NW_016722903v1
Scaffold32302	chrUn_NW_016722904v1
Scaffold32303	chrUn_NW_016722905v1
Scaffold32304	chrUn_NW_016722906v1
Scaffold32305	chrUn_NW_016722907v1
Scaffold32306	chrUn_NW_016722908v1
Scaffold32307	chrUn_NW_016722909v1
Scaffold32308	chrUn_NW_016722910v1
Scaffold32309	chrUn_NW_016722911v1
Scaffold3231	chrUn_NW_016697843v1
Scaffold32310	chrUn_NW_016722912v1
Scaffold32311	chrUn_NW_016722913v1
Scaffold32312	chrUn_NW_016722914v1
Scaffold32313	chrUn_NW_016722915v1
Scaffold32314	chrUn_NW_016722916v1
Scaffold32316	chrUn_NW_016722917v1
Scaffold32317	chrUn_NW_016722918v1
Scaffold32318	chrUn_NW_016722919v1
Scaffold32319	chrUn_NW_016722920v1
Scaffold3232	chrUn_NW_016697844v1
Scaffold32320	chrUn_NW_016722921v1
Scaffold32321	chrUn_NW_016722922v1
Scaffold32322	chrUn_NW_016722923v1
Scaffold32323	chrUn_NW_016722924v1
Scaffold32324	chrUn_NW_016722925v1
Scaffold32325	chrUn_NW_016722926v1
Scaffold32326	chrUn_NW_016722927v1
Scaffold32327	chrUn_NW_016722928v1
Scaffold32328	chrUn_NW_016722929v1
Scaffold32329	chrUn_NW_016722930v1
Scaffold3233	chrUn_NW_016697845v1
Scaffold32330	chrUn_NW_016722931v1
Scaffold32331	chrUn_NW_016722932v1
Scaffold32332	chrUn_NW_016722933v1
Scaffold32333	chrUn_NW_016722934v1
Scaffold32334	chrUn_NW_016722935v1
Scaffold32335	chrUn_NW_016722936v1
Scaffold32336	chrUn_NW_016722937v1
Scaffold32337	chrUn_NW_016722938v1
Scaffold32338	chrUn_NW_016722939v1
Scaffold32339	chrUn_NW_016722940v1
Scaffold32340	chrUn_NW_016722941v1
Scaffold32341	chrUn_NW_016722942v1
Scaffold32342	chrUn_NW_016722943v1
Scaffold32343	chrUn_NW_016722944v1
Scaffold32344	chrUn_NW_016722945v1
Scaffold32345	chrUn_NW_016722946v1
Scaffold32346	chrUn_NW_016722947v1
Scaffold32347	chrUn_NW_016722948v1
Scaffold32348	chrUn_NW_016722949v1
Scaffold32349	chrUn_NW_016722950v1
Scaffold3235	chrUn_NW_016697846v1
Scaffold32350	chrUn_NW_016722951v1
Scaffold32351	chrUn_NW_016722952v1
Scaffold32352	chrUn_NW_016722953v1
Scaffold32353	chrUn_NW_016722954v1
Scaffold32354	chrUn_NW_016722955v1
Scaffold32355	chrUn_NW_016722956v1
Scaffold32356	chrUn_NW_016722957v1
Scaffold32357	chrUn_NW_016722958v1
Scaffold32358	chrUn_NW_016722959v1
Scaffold32359	chrUn_NW_016722960v1
Scaffold3236	chrUn_NW_016697847v1
Scaffold32360	chrUn_NW_016722961v1
Scaffold32361	chrUn_NW_016722962v1
Scaffold32362	chrUn_NW_016722963v1
Scaffold32363	chrUn_NW_016722964v1
Scaffold32364	chrUn_NW_016722965v1
Scaffold32365	chrUn_NW_016722966v1
Scaffold32366	chrUn_NW_016722967v1
Scaffold32367	chrUn_NW_016722968v1
Scaffold32368	chrUn_NW_016722969v1
Scaffold32369	chrUn_NW_016722970v1
Scaffold3237	chrUn_NW_016697848v1
Scaffold32370	chrUn_NW_016722971v1
Scaffold32371	chrUn_NW_016722972v1
Scaffold32372	chrUn_NW_016722973v1
Scaffold32374	chrUn_NW_016722974v1
Scaffold32375	chrUn_NW_016722975v1
Scaffold32376	chrUn_NW_016722976v1
Scaffold32377	chrUn_NW_016722977v1
Scaffold32378	chrUn_NW_016722978v1
Scaffold32379	chrUn_NW_016722979v1
Scaffold3238	chrUn_NW_016697849v1
Scaffold32380	chrUn_NW_016722980v1
Scaffold32381	chrUn_NW_016722981v1
Scaffold32382	chrUn_NW_016722982v1
Scaffold32383	chrUn_NW_016722983v1
Scaffold32384	chrUn_NW_016722984v1
Scaffold32385	chrUn_NW_016722985v1
Scaffold32386	chrUn_NW_016722986v1
Scaffold32387	chrUn_NW_016722987v1
Scaffold32388	chrUn_NW_016722988v1
Scaffold32389	chrUn_NW_016722989v1
Scaffold3239	chrUn_NW_016697850v1
Scaffold32390	chrUn_NW_016722990v1
Scaffold32391	chrUn_NW_016722991v1
Scaffold32392	chrUn_NW_016722992v1
Scaffold32393	chrUn_NW_016722993v1
Scaffold32394	chrUn_NW_016722994v1
Scaffold32395	chrUn_NW_016722995v1
Scaffold32396	chrUn_NW_016722996v1
Scaffold32397	chrUn_NW_016722997v1
Scaffold32398	chrUn_NW_016722998v1
Scaffold32399	chrUn_NW_016722999v1
Scaffold324	chrUn_NW_016695115v1
Scaffold3240	chrUn_NW_016697851v1
Scaffold32400	chrUn_NW_016723000v1
Scaffold32401	chrUn_NW_016723001v1
Scaffold32402	chrUn_NW_016723002v1
Scaffold32403	chrUn_NW_016723003v1
Scaffold32404	chrUn_NW_016723004v1
Scaffold32405	chrUn_NW_016723005v1
Scaffold32406	chrUn_NW_016723006v1
Scaffold32407	chrUn_NW_016723007v1
Scaffold32408	chrUn_NW_016723008v1
Scaffold32409	chrUn_NW_016723009v1
Scaffold3241	chrUn_NW_016697852v1
Scaffold32411	chrUn_NW_016723010v1
Scaffold32412	chrUn_NW_016723011v1
Scaffold32413	chrUn_NW_016723012v1
Scaffold32415	chrUn_NW_016723013v1
Scaffold32416	chrUn_NW_016723014v1
Scaffold32417	chrUn_NW_016723015v1
Scaffold32418	chrUn_NW_016723016v1
Scaffold32419	chrUn_NW_016723017v1
Scaffold3242	chrUn_NW_016697853v1
Scaffold32420	chrUn_NW_016723018v1
Scaffold32421	chrUn_NW_016723019v1
Scaffold32422	chrUn_NW_016723020v1
Scaffold32423	chrUn_NW_016723021v1
Scaffold32424	chrUn_NW_016723022v1
Scaffold32425	chrUn_NW_016723023v1
Scaffold32426	chrUn_NW_016723024v1
Scaffold32427	chrUn_NW_016723025v1
Scaffold32428	chrUn_NW_016723026v1
Scaffold3243	chrUn_NW_016697854v1
Scaffold32430	chrUn_NW_016723027v1
Scaffold32431	chrUn_NW_016723028v1
Scaffold32432	chrUn_NW_016723029v1
Scaffold32433	chrUn_NW_016723030v1
Scaffold32434	chrUn_NW_016723031v1
Scaffold32435	chrUn_NW_016723032v1
Scaffold32437	chrUn_NW_016723033v1
Scaffold32438	chrUn_NW_016723034v1
Scaffold32439	chrUn_NW_016723035v1
Scaffold3244	chrUn_NW_016697855v1
Scaffold32440	chrUn_NW_016723036v1
Scaffold32441	chrUn_NW_016723037v1
Scaffold32443	chrUn_NW_016723038v1
Scaffold32444	chrUn_NW_016723039v1
Scaffold32445	chrUn_NW_016723040v1
Scaffold32446	chrUn_NW_016723041v1
Scaffold32447	chrUn_NW_016723042v1
Scaffold32448	chrUn_NW_016723043v1
Scaffold32449	chrUn_NW_016723044v1
Scaffold3245	chrUn_NW_016697856v1
Scaffold32450	chrUn_NW_016723045v1
Scaffold32451	chrUn_NW_016723046v1
Scaffold32452	chrUn_NW_016723047v1
Scaffold32453	chrUn_NW_016723048v1
Scaffold32454	chrUn_NW_016723049v1
Scaffold32455	chrUn_NW_016723050v1
Scaffold32456	chrUn_NW_016723051v1
Scaffold32457	chrUn_NW_016723052v1
Scaffold32458	chrUn_NW_016723053v1
Scaffold32459	chrUn_NW_016723054v1
Scaffold3246	chrUn_NW_016697857v1
Scaffold32461	chrUn_NW_016723055v1
Scaffold32462	chrUn_NW_016723056v1
Scaffold32463	chrUn_NW_016723057v1
Scaffold32464	chrUn_NW_016723058v1
Scaffold32465	chrUn_NW_016723059v1
Scaffold32466	chrUn_NW_016723060v1
Scaffold32467	chrUn_NW_016723061v1
Scaffold32468	chrUn_NW_016723062v1
Scaffold32469	chrUn_NW_016723063v1
Scaffold3247	chrUn_NW_016697858v1
Scaffold32470	chrUn_NW_016723064v1
Scaffold32471	chrUn_NW_016723065v1
Scaffold32472	chrUn_NW_016723066v1
Scaffold32473	chrUn_NW_016723067v1
Scaffold32474	chrUn_NW_016723068v1
Scaffold32475	chrUn_NW_016723069v1
Scaffold32477	chrUn_NW_016723070v1
Scaffold32478	chrUn_NW_016723071v1
Scaffold32479	chrUn_NW_016723072v1
Scaffold3248	chrUn_NW_016697859v1
Scaffold32480	chrUn_NW_016723073v1
Scaffold32481	chrUn_NW_016723074v1
Scaffold32482	chrUn_NW_016723075v1
Scaffold32483	chrUn_NW_016723076v1
Scaffold32484	chrUn_NW_016723077v1
Scaffold32485	chrUn_NW_016723078v1
Scaffold32486	chrUn_NW_016723079v1
Scaffold32487	chrUn_NW_016723080v1
Scaffold32488	chrUn_NW_016723081v1
Scaffold32489	chrUn_NW_016723082v1
Scaffold3249	chrUn_NW_016697860v1
Scaffold32490	chrUn_NW_016723083v1
Scaffold32491	chrUn_NW_016723084v1
Scaffold32492	chrUn_NW_016723085v1
Scaffold32493	chrUn_NW_016723086v1
Scaffold32494	chrUn_NW_016723087v1
Scaffold32495	chrUn_NW_016723088v1
Scaffold32496	chrUn_NW_016723089v1
Scaffold32497	chrUn_NW_016723090v1
Scaffold32498	chrUn_NW_016723091v1
Scaffold32499	chrUn_NW_016723092v1
Scaffold325	chrUn_NW_016695116v1
Scaffold3250	chrUn_NW_016697861v1
Scaffold32500	chrUn_NW_016723093v1
Scaffold32501	chrUn_NW_016723094v1
Scaffold32502	chrUn_NW_016723095v1
Scaffold32503	chrUn_NW_016723096v1
Scaffold32504	chrUn_NW_016723097v1
Scaffold32505	chrUn_NW_016723098v1
Scaffold32506	chrUn_NW_016723099v1
Scaffold32507	chrUn_NW_016723100v1
Scaffold32508	chrUn_NW_016723101v1
Scaffold32509	chrUn_NW_016723102v1
Scaffold3251	chrUn_NW_016697862v1
Scaffold32510	chrUn_NW_016723103v1
Scaffold32511	chrUn_NW_016723104v1
Scaffold32512	chrUn_NW_016723105v1
Scaffold32513	chrUn_NW_016723106v1
Scaffold32514	chrUn_NW_016723107v1
Scaffold32515	chrUn_NW_016723108v1
Scaffold32516	chrUn_NW_016723109v1
Scaffold32517	chrUn_NW_016723110v1
Scaffold32518	chrUn_NW_016723111v1
Scaffold32519	chrUn_NW_016723112v1
Scaffold32520	chrUn_NW_016723113v1
Scaffold32521	chrUn_NW_016723114v1
Scaffold32522	chrUn_NW_016723115v1
Scaffold32523	chrUn_NW_016723116v1
Scaffold32524	chrUn_NW_016723117v1
Scaffold32525	chrUn_NW_016723118v1
Scaffold32526	chrUn_NW_016723119v1
Scaffold32527	chrUn_NW_016723120v1
Scaffold32528	chrUn_NW_016723121v1
Scaffold32529	chrUn_NW_016723122v1
Scaffold3253	chrUn_NW_016697863v1
Scaffold32530	chrUn_NW_016723123v1
Scaffold32531	chrUn_NW_016723124v1
Scaffold32532	chrUn_NW_016723125v1
Scaffold32533	chrUn_NW_016723126v1
Scaffold32535	chrUn_NW_016723127v1
Scaffold32536	chrUn_NW_016723128v1
Scaffold32537	chrUn_NW_016723129v1
Scaffold32538	chrUn_NW_016723130v1
Scaffold32539	chrUn_NW_016723131v1
Scaffold32540	chrUn_NW_016723132v1
Scaffold32541	chrUn_NW_016723133v1
Scaffold32542	chrUn_NW_016723134v1
Scaffold32543	chrUn_NW_016723135v1
Scaffold32544	chrUn_NW_016723136v1
Scaffold32545	chrUn_NW_016723137v1
Scaffold32546	chrUn_NW_016723138v1
Scaffold32547	chrUn_NW_016723139v1
Scaffold32548	chrUn_NW_016723140v1
Scaffold32549	chrUn_NW_016723141v1
Scaffold32550	chrUn_NW_016723142v1
Scaffold32551	chrUn_NW_016723143v1
Scaffold32552	chrUn_NW_016723144v1
Scaffold32553	chrUn_NW_016723145v1
Scaffold32554	chrUn_NW_016723146v1
Scaffold32555	chrUn_NW_016723147v1
Scaffold32556	chrUn_NW_016723148v1
Scaffold32558	chrUn_NW_016723149v1
Scaffold32559	chrUn_NW_016723150v1
Scaffold3256	chrUn_NW_016697864v1
Scaffold32560	chrUn_NW_016723151v1
Scaffold32561	chrUn_NW_016723152v1
Scaffold32562	chrUn_NW_016723153v1
Scaffold32563	chrUn_NW_016723154v1
Scaffold32564	chrUn_NW_016723155v1
Scaffold32565	chrUn_NW_016723156v1
Scaffold32566	chrUn_NW_016723157v1
Scaffold32567	chrUn_NW_016723158v1
Scaffold32568	chrUn_NW_016723159v1
Scaffold32569	chrUn_NW_016723160v1
Scaffold3257	chrUn_NW_016697865v1
Scaffold32570	chrUn_NW_016723161v1
Scaffold32571	chrUn_NW_016723162v1
Scaffold32572	chrUn_NW_016723163v1
Scaffold32573	chrUn_NW_016723164v1
Scaffold32574	chrUn_NW_016723165v1
Scaffold32575	chrUn_NW_016723166v1
Scaffold32576	chrUn_NW_016723167v1
Scaffold32577	chrUn_NW_016723168v1
Scaffold32578	chrUn_NW_016723169v1
Scaffold32579	chrUn_NW_016723170v1
Scaffold3258	chrUn_NW_016697866v1
Scaffold32580	chrUn_NW_016723171v1
Scaffold32581	chrUn_NW_016723172v1
Scaffold32582	chrUn_NW_016723173v1
Scaffold32583	chrUn_NW_016723174v1
Scaffold32584	chrUn_NW_016723175v1
Scaffold32585	chrUn_NW_016723176v1
Scaffold32586	chrUn_NW_016723177v1
Scaffold32587	chrUn_NW_016723178v1
Scaffold32588	chrUn_NW_016723179v1
Scaffold32589	chrUn_NW_016723180v1
Scaffold3259	chrUn_NW_016697867v1
Scaffold32590	chrUn_NW_016723181v1
Scaffold32591	chrUn_NW_016723182v1
Scaffold32592	chrUn_NW_016723183v1
Scaffold32593	chrUn_NW_016723184v1
Scaffold32594	chrUn_NW_016723185v1
Scaffold32595	chrUn_NW_016723186v1
Scaffold32596	chrUn_NW_016723187v1
Scaffold32597	chrUn_NW_016723188v1
Scaffold32598	chrUn_NW_016723189v1
Scaffold32599	chrUn_NW_016723190v1
Scaffold326	chrUn_NW_016695117v1
Scaffold3260	chrUn_NW_016697868v1
Scaffold32600	chrUn_NW_016723191v1
Scaffold32601	chrUn_NW_016723192v1
Scaffold32602	chrUn_NW_016723193v1
Scaffold32603	chrUn_NW_016723194v1
Scaffold32604	chrUn_NW_016723195v1
Scaffold32605	chrUn_NW_016723196v1
Scaffold32606	chrUn_NW_016723197v1
Scaffold32607	chrUn_NW_016723198v1
Scaffold32608	chrUn_NW_016723199v1
Scaffold32609	chrUn_NW_016723200v1
Scaffold3261	chrUn_NW_016697869v1
Scaffold32610	chrUn_NW_016723201v1
Scaffold32611	chrUn_NW_016723202v1
Scaffold32612	chrUn_NW_016723203v1
Scaffold32613	chrUn_NW_016723204v1
Scaffold32614	chrUn_NW_016723205v1
Scaffold32616	chrUn_NW_016723206v1
Scaffold32617	chrUn_NW_016723207v1
Scaffold32618	chrUn_NW_016723208v1
Scaffold3262	chrUn_NW_016697870v1
Scaffold32620	chrUn_NW_016723209v1
Scaffold32621	chrUn_NW_016723210v1
Scaffold32622	chrUn_NW_016723211v1
Scaffold32623	chrUn_NW_016723212v1
Scaffold32624	chrUn_NW_016723213v1
Scaffold32625	chrUn_NW_016723214v1
Scaffold32626	chrUn_NW_016723215v1
Scaffold32627	chrUn_NW_016723216v1
Scaffold32628	chrUn_NW_016723217v1
Scaffold32629	chrUn_NW_016723218v1
Scaffold3263	chrUn_NW_016697871v1
Scaffold32630	chrUn_NW_016723219v1
Scaffold32631	chrUn_NW_016723220v1
Scaffold32632	chrUn_NW_016723221v1
Scaffold32633	chrUn_NW_016723222v1
Scaffold32634	chrUn_NW_016723223v1
Scaffold32636	chrUn_NW_016723224v1
Scaffold32637	chrUn_NW_016723225v1
Scaffold32638	chrUn_NW_016723226v1
Scaffold3264	chrUn_NW_016697872v1
Scaffold32640	chrUn_NW_016723227v1
Scaffold32641	chrUn_NW_016723228v1
Scaffold32642	chrUn_NW_016723229v1
Scaffold32643	chrUn_NW_016723230v1
Scaffold32644	chrUn_NW_016723231v1
Scaffold32645	chrUn_NW_016723232v1
Scaffold32646	chrUn_NW_016723233v1
Scaffold32647	chrUn_NW_016723234v1
Scaffold32648	chrUn_NW_016723235v1
Scaffold32649	chrUn_NW_016723236v1
Scaffold3265	chrUn_NW_016697873v1
Scaffold32651	chrUn_NW_016723237v1
Scaffold32652	chrUn_NW_016723238v1
Scaffold32653	chrUn_NW_016723239v1
Scaffold32654	chrUn_NW_016723240v1
Scaffold32655	chrUn_NW_016723241v1
Scaffold32656	chrUn_NW_016723242v1
Scaffold32657	chrUn_NW_016723243v1
Scaffold32658	chrUn_NW_016723244v1
Scaffold32659	chrUn_NW_016723245v1
Scaffold3266	chrUn_NW_016697874v1
Scaffold32660	chrUn_NW_016723246v1
Scaffold32661	chrUn_NW_016723247v1
Scaffold32663	chrUn_NW_016723248v1
Scaffold32664	chrUn_NW_016723249v1
Scaffold32665	chrUn_NW_016723250v1
Scaffold32666	chrUn_NW_016723251v1
Scaffold32667	chrUn_NW_016723252v1
Scaffold32668	chrUn_NW_016723253v1
Scaffold32669	chrUn_NW_016723254v1
Scaffold3267	chrUn_NW_016697875v1
Scaffold32670	chrUn_NW_016723255v1
Scaffold32671	chrUn_NW_016723256v1
Scaffold32672	chrUn_NW_016723257v1
Scaffold32673	chrUn_NW_016723258v1
Scaffold32674	chrUn_NW_016723259v1
Scaffold32675	chrUn_NW_016723260v1
Scaffold32676	chrUn_NW_016723261v1
Scaffold32677	chrUn_NW_016723262v1
Scaffold32678	chrUn_NW_016723263v1
Scaffold32679	chrUn_NW_016723264v1
Scaffold3268	chrUn_NW_016697876v1
Scaffold32680	chrUn_NW_016723265v1
Scaffold32681	chrUn_NW_016723266v1
Scaffold32682	chrUn_NW_016723267v1
Scaffold32683	chrUn_NW_016723268v1
Scaffold32684	chrUn_NW_016723269v1
Scaffold32685	chrUn_NW_016723270v1
Scaffold32686	chrUn_NW_016723271v1
Scaffold32687	chrUn_NW_016723272v1
Scaffold32688	chrUn_NW_016723273v1
Scaffold3269	chrUn_NW_016697877v1
Scaffold32690	chrUn_NW_016723274v1
Scaffold32691	chrUn_NW_016723275v1
Scaffold32692	chrUn_NW_016723276v1
Scaffold32693	chrUn_NW_016723277v1
Scaffold32694	chrUn_NW_016723278v1
Scaffold32695	chrUn_NW_016723279v1
Scaffold32696	chrUn_NW_016723280v1
Scaffold32697	chrUn_NW_016723281v1
Scaffold32698	chrUn_NW_016723282v1
Scaffold32699	chrUn_NW_016723283v1
Scaffold327	chrUn_NW_016695118v1
Scaffold3270	chrUn_NW_016697878v1
Scaffold32700	chrUn_NW_016723284v1
Scaffold32702	chrUn_NW_016723285v1
Scaffold32703	chrUn_NW_016723286v1
Scaffold32704	chrUn_NW_016723287v1
Scaffold32705	chrUn_NW_016723288v1
Scaffold32706	chrUn_NW_016723289v1
Scaffold32707	chrUn_NW_016723290v1
Scaffold32708	chrUn_NW_016723291v1
Scaffold3271	chrUn_NW_016697879v1
Scaffold32711	chrUn_NW_016723292v1
Scaffold32712	chrUn_NW_016723293v1
Scaffold32713	chrUn_NW_016723294v1
Scaffold32714	chrUn_NW_016723295v1
Scaffold32715	chrUn_NW_016723296v1
Scaffold32716	chrUn_NW_016723297v1
Scaffold32717	chrUn_NW_016723298v1
Scaffold32718	chrUn_NW_016723299v1
Scaffold32719	chrUn_NW_016723300v1
Scaffold3272	chrUn_NW_016697880v1
Scaffold32720	chrUn_NW_016723301v1
Scaffold32722	chrUn_NW_016723302v1
Scaffold32723	chrUn_NW_016723303v1
Scaffold32724	chrUn_NW_016723304v1
Scaffold32726	chrUn_NW_016723305v1
Scaffold32727	chrUn_NW_016723306v1
Scaffold32728	chrUn_NW_016723307v1
Scaffold32729	chrUn_NW_016723308v1
Scaffold3273	chrUn_NW_016697881v1
Scaffold32730	chrUn_NW_016723309v1
Scaffold32731	chrUn_NW_016723310v1
Scaffold32732	chrUn_NW_016723311v1
Scaffold32733	chrUn_NW_016723312v1
Scaffold32735	chrUn_NW_016723313v1
Scaffold32736	chrUn_NW_016723314v1
Scaffold32737	chrUn_NW_016723315v1
Scaffold32739	chrUn_NW_016723316v1
Scaffold3274	chrUn_NW_016697882v1
Scaffold32740	chrUn_NW_016723317v1
Scaffold32741	chrUn_NW_016723318v1
Scaffold32742	chrUn_NW_016723319v1
Scaffold32743	chrUn_NW_016723320v1
Scaffold32744	chrUn_NW_016723321v1
Scaffold32745	chrUn_NW_016723322v1
Scaffold32746	chrUn_NW_016723323v1
Scaffold32747	chrUn_NW_016723324v1
Scaffold32748	chrUn_NW_016723325v1
Scaffold32749	chrUn_NW_016723326v1
Scaffold3275	chrUn_NW_016697883v1
Scaffold32750	chrUn_NW_016723327v1
Scaffold32751	chrUn_NW_016723328v1
Scaffold32753	chrUn_NW_016723329v1
Scaffold32754	chrUn_NW_016723330v1
Scaffold32755	chrUn_NW_016723331v1
Scaffold32756	chrUn_NW_016723332v1
Scaffold32757	chrUn_NW_016723333v1
Scaffold32758	chrUn_NW_016723334v1
Scaffold3276	chrUn_NW_016697884v1
Scaffold32760	chrUn_NW_016723335v1
Scaffold32761	chrUn_NW_016723336v1
Scaffold32763	chrUn_NW_016723337v1
Scaffold32764	chrUn_NW_016723338v1
Scaffold32765	chrUn_NW_016723339v1
Scaffold32766	chrUn_NW_016723340v1
Scaffold32767	chrUn_NW_016723341v1
Scaffold32768	chrUn_NW_016723342v1
Scaffold32769	chrUn_NW_016723343v1
Scaffold3277	chrUn_NW_016697885v1
Scaffold32770	chrUn_NW_016723344v1
Scaffold32771	chrUn_NW_016723345v1
Scaffold32772	chrUn_NW_016723346v1
Scaffold32773	chrUn_NW_016723347v1
Scaffold32774	chrUn_NW_016723348v1
Scaffold32775	chrUn_NW_016723349v1
Scaffold32776	chrUn_NW_016723350v1
Scaffold32777	chrUn_NW_016723351v1
Scaffold32778	chrUn_NW_016723352v1
Scaffold32780	chrUn_NW_016723353v1
Scaffold32781	chrUn_NW_016723354v1
Scaffold32782	chrUn_NW_016723355v1
Scaffold32783	chrUn_NW_016723356v1
Scaffold32784	chrUn_NW_016723357v1
Scaffold32785	chrUn_NW_016723358v1
Scaffold32786	chrUn_NW_016723359v1
Scaffold32787	chrUn_NW_016723360v1
Scaffold32788	chrUn_NW_016723361v1
Scaffold32789	chrUn_NW_016723362v1
Scaffold3279	chrUn_NW_016697886v1
Scaffold32790	chrUn_NW_016723363v1
Scaffold32791	chrUn_NW_016723364v1
Scaffold32793	chrUn_NW_016723365v1
Scaffold32794	chrUn_NW_016723366v1
Scaffold32795	chrUn_NW_016723367v1
Scaffold32796	chrUn_NW_016723368v1
Scaffold32797	chrUn_NW_016723369v1
Scaffold32798	chrUn_NW_016723370v1
Scaffold32799	chrUn_NW_016723371v1
Scaffold328	chrUn_NW_016695119v1
Scaffold32800	chrUn_NW_016723372v1
Scaffold32801	chrUn_NW_016723373v1
Scaffold32802	chrUn_NW_016723374v1
Scaffold32803	chrUn_NW_016723375v1
Scaffold32804	chrUn_NW_016723376v1
Scaffold32805	chrUn_NW_016723377v1
Scaffold32806	chrUn_NW_016723378v1
Scaffold32807	chrUn_NW_016723379v1
Scaffold32808	chrUn_NW_016723380v1
Scaffold32809	chrUn_NW_016723381v1
Scaffold3281	chrUn_NW_016697887v1
Scaffold32810	chrUn_NW_016723382v1
Scaffold32811	chrUn_NW_016723383v1
Scaffold32813	chrUn_NW_016723384v1
Scaffold32815	chrUn_NW_016723385v1
Scaffold32816	chrUn_NW_016723386v1
Scaffold32818	chrUn_NW_016723387v1
Scaffold32819	chrUn_NW_016723388v1
Scaffold3282	chrUn_NW_016697888v1
Scaffold32820	chrUn_NW_016723389v1
Scaffold32821	chrUn_NW_016723390v1
Scaffold32822	chrUn_NW_016723391v1
Scaffold32823	chrUn_NW_016723392v1
Scaffold32824	chrUn_NW_016723393v1
Scaffold32825	chrUn_NW_016723394v1
Scaffold32826	chrUn_NW_016723395v1
Scaffold32827	chrUn_NW_016723396v1
Scaffold32828	chrUn_NW_016723397v1
Scaffold32829	chrUn_NW_016723398v1
Scaffold32830	chrUn_NW_016723399v1
Scaffold32831	chrUn_NW_016723400v1
Scaffold32832	chrUn_NW_016723401v1
Scaffold32833	chrUn_NW_016723402v1
